Height (in CM) ,Weight (in kg)
73.84701702,241.8935632
68.78190405,162.3104725
74.11010539,212.7408556
71.7309784,220.0424703
69.88179586,206.3498006
67.25301569,152.2121558
68.78508125,183.9278886
68.34851551,167.9711105
67.01894966,175.9294404
63.45649398,156.3996764
71.19538228,186.6049256
71.64080512,213.7411695
64.76632913,167.1274611
69.2830701,189.4461814
69.24373223,186.434168
67.6456197,172.1869301
72.41831663,196.0285063
63.97432572,172.8834702
69.6400599,185.9839576
67.93600485,182.426648
67.91505019,174.1159291
69.43943987,197.7314216
66.14913196,149.173566
75.20597361,228.7617806
67.89319634,162.0066518
68.1440328,192.3439766
69.08963143,184.4351744
72.80084352,206.8281894
67.42124228,175.2139224
68.49641536,154.3426389
68.61811055,187.5068432
74.03380762,212.9102253
71.52821604,195.0322432
69.1801611,205.1836213
69.57720237,204.1641255
70.40092889,192.9035151
69.07617117,197.4882426
67.19352328,183.8109732
65.80731565,163.8518249
64.30418789,163.1080171
67.97433623,172.1355974
72.18942596,194.0454049
65.27034552,168.6177462
66.09017738,161.1934326
67.51032152,164.6602773
70.10478626,188.9223032
68.25183644,187.0605522
72.17270912,209.0708634
69.17985762,192.0143354
72.87036015,211.3424968
64.78258298,165.6116262
70.18354989,201.0719181
68.49145025,173.4239603
67.33083088,181.4076793
66.99094408,169.7377074
66.4995499,163.3095283
68.35305665,189.7102099
70.77445907,192.1248473
71.21592367,198.1984641
70.01336535,209.5264998
71.40318222,198.7597927
69.55200509,198.0795237
73.81853456,195.2906122
66.99688275,164.943303
71.41846589,179.8639023
65.27930021,155.2504207
68.27419147,184.5193912
72.76536995,220.6780415
68.0993798,183.3126553
68.89670607,196.4513123
69.28950996,184.5956083
70.52322452,207.5328385
69.66372523,177.2009288
67.59526881,163.1080022
72.50812038,216.2182301
71.2529856,204.6554938
71.80918689,200.9205712
72.24516548,220.9017699
66.51262766,196.4498603
66.029034,168.64081
67.57715394,181.432713
68.2465686,198.6586733
73.826127,237.9167359
69.80246436,173.0412559
65.95957778,160.6839166
71.07901758,188.6029191
66.59619654,208.345694
68.95153509,193.4351185
68.24446179,174.1096938
72.31682512,197.3685892
71.81542045,201.6206667
65.23704952,181.0119732
70.64053009,182.122486
64.7319256,177.5492634
67.10355118,164.9745807
65.11748489,165.7171122
71.70123402,193.0941635
66.83287821,180.683887
66.47127526,172.7737229
69.41152622,177.4706162
70.05217747,200.8187373
66.74360465,167.7397753
66.27432912,154.3956248
68.32844799,177.9847286
70.0758882,183.938857
68.73298815,179.2047821
67.55605126,158.5679874
66.25363253,166.5035316
69.18220268,171.9836776
67.60910494,174.3641824
69.29273802,187.7453519
68.19068401,201.4879624
71.6070858,204.9270121
69.19685751,178.6855465
67.26196098,164.0144277
73.6851934,223.2700044
69.53721501,202.9583063
68.31155984,189.3917856
67.73896347,178.1705556
71.7057626,223.2993352
63.6322646,167.0287067
68.72119846,180.468682
66.94934165,164.4391456
62.70698974,149.9696184
72.25840892,192.9102666
70.90865306,201.8839987
67.6098436,179.868026
70.80155896,196.4677247
69.30476905,187.5516495
66.24289834,171.6931597
67.49219298,191.6996048
65.80624829,165.8506478
71.44370566,185.6627413
68.46440582,178.2818007
63.9879246,150.9790513
71.00189769,209.9293234
68.13972419,174.1578043
68.39540025,179.8789771
68.09621975,167.7471412
68.14059036,183.0446604
68.86009031,169.5568208
66.14885254,173.4316727
66.20603205,180.8895546
67.43212021,183.5089329
69.47110603,205.9779102
70.51585969,183.7598452
71.33837604,201.9544955
71.00194477,216.1200947
66.20234771,159.3903237
72.54330705,210.3364247
67.47935176,178.6183502
65.35041056,146.7397976
70.84406242,195.937015
69.93847526,170.1758538
64.73981548,169.6540541
69.30840288,198.3786936
68.83846286,179.9077169
61.93732327,147.2636865
68.59333554,176.9842511
65.21857558,185.4677884
64.33364811,177.4938023
68.7489067,169.8274774
72.4896554,198.5816982
67.23393092,203.3503393
67.26360484,193.2176727
65.11850428,178.1349452
66.26282004,162.7795834
67.70167966,159.2865106
65.53069597,172.114312
69.86896981,201.8370426
68.48187536,170.3523296
72.21396335,205.3897607
68.17953269,169.7877681
71.98120654,200.4373105
66.06513673,178.588954
66.65616417,168.0140297
67.5994242,177.7664258
68.24594409,193.277624
64.80862144,162.3795406
67.49221827,183.3838244
68.18073071,181.0560953
69.5533849,210.871799
66.40224967,165.5684991
66.59215711,196.1484498
71.93588658,202.0464252
68.28704173,170.4136025
69.9554512,201.9480853
71.85112915,193.3869846
65.75549864,179.8556896
67.03185208,156.489935
76.70983486,235.0354188
72.57112137,230.560535
69.7288049,203.895655
72.799224,218.2163966
72.53935407,222.6671779
72.29474338,208.4748659
67.25332482,180.77978
75.94446038,231.9247485
66.31623192,170.5938581
71.15605349,188.2714563
71.19220229,196.0615292
72.19751201,214.6035842
75.14082143,224.1242713
64.41152936,158.5793973
64.73442436,166.5011147
63.41458714,160.1406156
67.84866523,176.1726343
65.93178483,174.4852947
70.96655044,193.9064988
67.58074728,186.9916067
68.58927044,173.5957961
70.32475344,193.3465603
72.39448041,208.436509
70.82085671,206.0329778
65.90330126,172.575231
74.79537502,232.6354028
67.68091903,177.2401455
67.15596277,175.6466902
71.77484122,212.6261023
64.66523194,166.969204
